Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01_GET-POST-DELETE-Albums1,,,,2023-08-14 10:33:17,2023-08-14 10:33:23,6.443s,PASSED
,,,,,,,
Test Cases/REST_API_Albums/TC01_GET-All-Albums,,,,2023-08-14 10:33:17,2023-08-14 10:33:21,3.682s,PASSED
"response = sendRequest(findTestObject(""REST_API/1_Albums/GET/GET-All-Albums""))",,,,2023-08-14 10:33:17,2023-08-14 10:33:19,2.152s,PASSED
"verifyElementPropertyValue(response, ""[0].userId"", 1)",,,,2023-08-14 10:33:19,2023-08-14 10:33:19,0.095s,PASSED
"verifyElementPropertyValue(response, ""[0].id"", 1)",,,,2023-08-14 10:33:19,2023-08-14 10:33:19,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].title"", ""quidem molestiae enim"")",,,,2023-08-14 10:33:19,2023-08-14 10:33:19,0.030s,PASSED
"verifyElementPropertyValue(response, ""[1].userId"", 1)",,,,2023-08-14 10:33:19,2023-08-14 10:33:20,0.041s,PASSED
"verifyElementPropertyValue(response, ""[1].id"", 2)",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.027s,PASSED
"verifyElementPropertyValue(response, ""[1].title"", ""sunt qui excepturi placeat culpa"")",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.042s,PASSED
"verifyElementPropertyValue(response, ""[2].userId"", 1)",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.039s,PASSED
"verifyElementPropertyValue(response, ""[2].id"", 3)",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.046s,PASSED
"verifyElementPropertyValue(response, ""[2].title"", ""omnis laborum odio"")",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.038s,PASSED
"verifyElementPropertyValue(response, ""[3].userId"", 1)",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.068s,PASSED
"verifyElementPropertyValue(response, ""[3].id"", 4)",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.048s,PASSED
"verifyElementPropertyValue(response, ""[3].title"", ""non esse culpa molestiae omnis sed optio"")",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.044s,PASSED
"verifyElementPropertyValue(response, ""[4].userId"", 1)",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.034s,PASSED
"verifyElementPropertyValue(response, ""[4].id"", 5)",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.032s,PASSED
"verifyElementPropertyValue(response, ""[4].title"", ""eaque aut omnis a"")",,,,2023-08-14 10:33:20,2023-08-14 10:33:20,0.037s,PASSED
